seq,nome,ano_ingresso,situacao_aluno,descricao_curso,status_curso,modalidade_curso,nivel_curso,descricao_cota,Residencia,genero,matricula,cpf,email,logradouro
1,Heitor Bruno Dos Santos Barbosa,2026,DESISTENTE,ABI CIÊNCIAS SOCIAIS - NOTURNO,AT,P,GRADUACAO,AC - NÃO COTISTA / SISTEMA UNIVERSAL / AMPLA CONCORRÊNCIA,São Paulo-SP,Feminino,29206345,772.960.549-05,da-luzanthony@hotmail.com,"Via de Nunes, 530, Caldeira da Mata - RS"
2,Maria Sophia Araujo Do Nascimento,2025,EM CURSO,ABI CIÊNCIAS SOCIAIS - NOTURNO,AT,P,GRADUACAO,"LI_EP - CANDIDATOS QUE, INDEPENDENTEMENTE DA RENDA, TENHAM CURSADO INTEGRALMENTE O ENSINO MEDIO EM ESCOLAS PUBLICAS (LEI Nº 12.711/2012).",São Paulo-SP,Feminino,40963290,639.389.695-71,rebeca43@yahoo.com.br,"Avenida Aragão, 34, Azevedo de da Luz - RR"
3,Yago Carolina Amaral Assis,2026,EM CURSO,ABI CIÊNCIAS SOCIAIS - NOTURNO,AT,P,GRADUACAO,AC - NÃO COTISTA / SISTEMA UNIVERSAL / AMPLA CONCORRÊNCIA,São Paulo-SP,Feminino,9733388,430.298.761-87,maria-ceciliasouza@bol.com.br,"Trecho de Mendes, 12, Melo - DF"
4,Milena Peixinho Silva,2026,EM CURSO,ABI CIÊNCIAS SOCIAIS - NOTURNO,AT,P,GRADUACAO,"LB_PPI - CANDIDATOS AUTODECLARADOS PRETOS, PARDOS OU INDIGENAS, COM RENDA FAMILIAR BRUTA PER CAPITA IGUAL OU INFERIOR A 1 SALARIO MINIMO E QUE TENHAM CURSADO INTEGRALMENTE O ENSINO MEDIO EM ESCOLAS PUBLICAS (LEI Nº 12.711/2012).",Mauá-SP,Masculino,75086753,051.689.237-12,joao-lucas72@nascimento.com,"Via Santos, 74, Costa - AM"
5,Heloísa Terra De Oliveira,2026,EM CURSO,ABI CIÊNCIAS SOCIAIS - NOTURNO,AT,P,GRADUACAO,AC - NÃO COTISTA / SISTEMA UNIVERSAL / AMPLA CONCORRÊNCIA,São Paulo-SP,Feminino,27354355,403.158.697-39,davi-luccada-luz@hotmail.com,"Praça Maria Julia Nascimento, 81, Peixoto - AC"
6,Gabrielly Vick Sena,2024,EM CURSO,ABI CIÊNCIAS SOCIAIS - NOTURNO,AT,P,GRADUACAO,AC - NÃO COTISTA / SISTEMA UNIVERSAL / AMPLA CONCORRÊNCIA,Brasília-DF,Feminino,57607885,891.673.402-96,lopesgabriela@hotmail.com,"Residencial de Vieira, 83, da Mota - RR"
7,João Gabriel Clara Santana Ferreira,2026,EM CURSO,ABI CIÊNCIAS SOCIAIS - NOTURNO,AT,P,GRADUACAO,AC - NÃO COTISTA / SISTEMA UNIVERSAL / AMPLA CONCORRÊNCIA,Guarulhos-SP,Feminino,30089150,482.397.160-40,joao-pedro88@pires.com,"Ladeira de Souza, 418, Rodrigues da Praia - CE"
8,Rafael Luisa Silva Ribeiro,2026,EM CURSO,ABI CIÊNCIAS SOCIAIS - NOTURNO,AT,P,GRADUACAO,AC - NÃO COTISTA / SISTEMA UNIVERSAL / AMPLA CONCORRÊNCIA,São Paulo-SP,Feminino,83723473,734.447.546-47,costavitor-gabriel@uol.com.br,"Campo de Sales, 6, Fogaça dos Dourados - MT"
9,Marcelo De Castro Soares,2026,EM CURSO,ABI CIÊNCIAS SOCIAIS - NOTURNO,AT,P,GRADUACAO,LB_EP - CANDIDATOS COM RENDA FAMILIAR BRUTA PER CAPITA IGUAL OU INFERIOR A 1 SALARIO MINIMO QUE TENHAM CURSADO INTEGRALMENTE O ENSINO MEDIO EM ESCOLAS PUBLICAS (LEI Nº 12.711/2012).,Santa Isabel-SP,Feminino,70458608,894.356.071-03,kmartins@farias.br,"Rodovia Campos, 80, Cunha dos Dourados - RN"
10,Amanda Rodrigues Ramos,2026,EM CURSO,ABI CIÊNCIAS SOCIAIS - NOTURNO,AT,P,GRADUACAO,"LB_PPI - CANDIDATOS AUTODECLARADOS PRETOS, PARDOS OU INDIGENAS, COM RENDA FAMILIAR BRUTA PER CAPITA IGUAL OU INFERIOR A 1 SALARIO MINIMO E QUE TENHAM CURSADO INTEGRALMENTE O ENSINO MEDIO EM ESCOLAS PUBLICAS (LEI Nº 12.711/2012).",São Paulo-SP,Masculino,27818576,151.999.378-08,diasrodrigo@gmail.com,"Ladeira de Viana, 82, Farias - CE"
